Brand,Model,Fault Code,Fault Description,Probable Cause,Solution,solution 2,solution 3,solutio 4,solution 4
Perkins,1100 Series,E1115,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,Inspect the cooling fan for operation; replace if defective. Check fan wiring for shorts, opens, or loose connections. Verify fan power supply and control signals. Ensure proper ventilation around the radiator. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.
Perkins,1100 Series,E1116,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,Test the fuel injectors with a diagnostic tool; replace any defective injectors. Inspect injector wiring for shorts, opens
Perkins,1100 Series,E1117,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,Inspect the alternator cooling fan for operation; replace if defective. Check fan wiring for shorts, opens
Perkins,1100 Series,E1118,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,Test the throttle actuator for proper operation; replace if defective. Inspect actuator wiring and control signals for shorts, opens, or loose connections. Verify the governor settings in the ECU. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1119,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,Test the fuel pump relay with a multimeter for proper operation; replace if defective. Inspect relay wiring for shorts, opens
Perkins,1100 Series,E1120,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,Check the control panel display connections for loose or damaged wiring. Verify the display power supply is within specifications (e.g., 12V or 24V). Test the display unit; replace if defective. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,,
Perkins,1100 Series,E1121,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,Inspect the EGR valve for proper operation; clean or replace if stuck or defective. Test EGR valve wiring and control signals for faults; repair or replace as needed. Verify the EGR system for blockages. Reset the fault via the ECU diagnostic tool and restart.  to the Weichai WP Series  or a technician if unresolved.,
Perkins,1100 Series,E1122,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,Check coolant level; top up with recommended coolant (e.g.,,
Perkins,1100 Series,E1123,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,Check oil level using dipstick; top up with recommended oil (e.g.,
Perkins,1100 Series,E1124,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,Drain fuel filter to remove water. Inspect fuel tank and lines for water contamination; replace fuel if contaminated. Test water-in-fuel sensor and wiring; replace if defective. Reset fault via ECU diagnostic tool and restart.,
Perkins,1100 Series,E1125,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,1100 Series,E1126,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,Check engine speed via ECU diagnostic tool; ensure nominal RPM (e.g.
Perkins,1100 Series,E1127,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,Test injector 1 with a diagnostic tool; replace if defective. Inspect injector wiring for shorts
Perkins,1100 Series,E1128,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,Test injector 2 with a diagnostic tool; replace if defective. Inspect injector wiring for shorts
Perkins,1100 Series,E1129,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,1100 Series,E1130,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,Test injector 4 with a diagnostic tool; replace if defective. Inspect injector wiring for shorts,
Perkins,1100 Series,E1131,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,Check DEF tank level; refill with proper DEF fluid if low. Inspect DEF injector and lines for blockages or leaks. Test DEF quality with a refractometer. Verify SCR system sensors and wiring; replace if defective. Reset fault via ECU diagnostic tool and restart.
Perkins,1100 Series,E1132,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,1100 Series,E1133,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Check for stepper motor or mixer assembly issues, such as being unplugged
Perkins,1100 Series,E1134,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,due to stepper/mixer problems.,
Perkins,1100 Series,E1135,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,1100 Series,E1136,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,or an internal engine problem not building oil pressure.,
Perkins,1100 Series,E1137,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,damaged ignition coils,,
Perkins,1100 Series,E1138,Crankshaft Position Sensor Fault,Sensor damaged, wiring short,Replace sensor, check wiring harness,bad starter,
Perkins,1100 Series,E1139,Camshaft Position Sensor Fault,Loose timing, failed sensor,Reset timing, replace sensor,damaged ignition coils,
Perkins,1100 Series,E1140,Manifold Pressure Sensor Fault,Short circuit, contamination,Clean/replace sensor, test wiring,and starting system,
Perkins,1100 Series,E1141,Exhaust Temperature High,Over-fueling, blocked DPF, restricted exhaust,Check injectors, clean/replace DPF, inspect exhaust
Perkins,1100 Series,E1142,EGR Valve Fault,Carbon buildup, valve stuck,Clean or replace EGR valve,see Section 5.10.2). Replace wiring or switch if faulty.,,
Perkins,1100 Series,E1143,DPF High Soot Load,Failed regeneration, excessive idling,Perform forced regen, check sensors,R x 100 scale,
Perkins,1100 Series,E1144,Alternator Under Voltage,Loose belt, alternator fault,Tighten belt, replace alternator,R x 1000 scale,
Perkins,1100 Series,E1145,Alternator Over Voltage,Faulty regulator,Replace regulator/alternator,Inspect sensor and wiring for intermittent faults. Replace sensor if necessary.,,,
Perkins,1100 Series,E1146,ECM Power Supply Fault,Loose battery cables, blown fuse,Tighten cables, replace fuse,Check sensor signal. Inspect for damage. Replace sensor if faulty.,
Perkins,1100 Series,E1147,ECM Internal Memory Error,Corrupted ECM software,Reflash ECM with Perkins EST,Inspect switch and wiring for intermittent issues. Replace switch if necessary.,,,
Perkins,1100 Series,E1148,CAN Communication Loss - ECM to Panel,Broken CAN wiring, ECM fault,Inspect wiring, test ECM,Check pedal position sensor and wiring. Replace sensor if faulty.,
Perkins,1100 Series,E1149,CAN Communication Loss - ECM to Governor,Governor module failure,Replace governor, test wiring,Inspect sensor signal. Replace if faulty.,,
Perkins,1100 Series,E1150,Engine Overspeed Shutdown,Fuel rack stuck, governor failure,Inspect governor, recalibrate fuel system,Check throttle position sensor and wiring. Replace sensor if necessary.,
Perkins,1100 Series,E1151,Engine Underspeed,Low fuel delivery, clogged filters,Replace filters, test fuel delivery,Inspect sensor signal. Replace if faulty.,
Perkins,1100 Series,E1152,Low Fuel Rail Pressure,Clogged filter, weak transfer pump, air in lines,Replace filter, test pump, bleed fuel system
Perkins,1100 Series,E1153,High Fuel Rail Pressure,Injector leak, pressure relief valve stuck,Inspect injectors, replace relief valve, recalibrate ECM,and fuel system for cylinder 2. Reset ECU and test.
Perkins,1100 Series,E1154,Fuel Temperature High,Return fuel overheated, cooling failure,Check fuel cooler, replace lines, verify cooling circuit,and fuel system for cylinder 3. Reset ECU and test.
Perkins,1100 Series,E1155,Fuel Injector Fault,Open/short circuit, injector internal failure,Replace faulty injector, check harness, test ECM driver,and fuel system for cylinder 4. Reset ECU and test.
Perkins,1100 Series,E1156,Coolant Temperature High,Low coolant, blocked radiator, water pump failure,Top coolant, flush radiator, test/replace pump
Perkins,1100 Series,E1157,Coolant Temperature Low,Thermostat stuck open, sensor fault,Replace thermostat, test sensor,and spark plugs (if applicable). Inspect cylinders. Reset ECU and test.,
Perkins,1100 Series,E1158,Coolant Level Low,Leak in hoses or radiator, expansion tank issue,Inspect hoses, pressure test, repair leak,Locate the emergency stop button on the generator control panel. Release or reset the button by twisting or pulling it as per the design. Check for any conditions that prompted the activation (e.g.
Perkins,1100 Series,E1159,Oil Pressure Low,Oil leak, worn oil pump, low oil level,Top oil, test/replace oil pump, inspect for leaks
Perkins,1100 Series,E1160,Oil Pressure High,Blocked oil passage, faulty pressure regulator,Flush oil galleries, replace regulator,Check the engine oil level using the dipstick; top up with the recommended oil type if low. Inspect for oil leaks around the engine and oil lines. Verify the oil pressure sensor and its wiring for faults (e.g., loose connections
Perkins,1100 Series,E1161,Oil Temperature High,Blocked oil cooler, low oil level,Clean/replace oil cooler, top oil,Check the coolant level in the radiator or reservoir; top up with the recommended coolant if low. Inspect for leaks in the cooling system (hoses, radiator
Perkins,1100 Series,E1162,Turbo Boost Low,Air hose leak, turbo wear, actuator fault,Replace hose, service turbo, calibrate actuator
Perkins,1100 Series,E1163,Turbo Overspeed,ECM miscalibration, faulty actuator,Update ECM software, reset actuator,Check the radiator or coolant reservoir level; top up with the recommended coolant type. Inspect the cooling system for leaks (e.g., hoses
Perkins,1100 Series,E1164,Air Filter Restriction,Clogged air filter,Replace air filter, inspect intake,Immediately reduce the electrical load by disconnecting appliances. Inspect all alternator output cables and connections for shorts, damage, or loose terminals. Verify the load is within the generator’s rated capacity. Test the alternator for internal faults (e.g.
